Date,Open,High,Low,Close,Volume,Adj Close
2017-01-09,806.400024,809.966003,802.830017,806.650024,1272400,806.650024
2017-01-06,795.26001,807.900024,792.203979,806.150024,1620500,806.150024
2017-01-05,786.080017,794.47998,785.02002,794.02002,1315400,794.02002
2017-01-04,788.359985,791.340027,783.159973,786.900024,1065400,786.900024
2017-01-03,778.809998,789.630005,775.799988,786.140015,1643100,786.140015
2016-12-30,782.75,782.780029,770.409973,771.820007,1760200,771.820007
2016-12-29,783.330017,785.929993,778.919983,782.789978,742200,782.789978
2016-12-28,793.700012,794.22998,783.200012,785.049988,1132700,785.049988
2016-12-27,790.679993,797.859985,787.656982,791.549988,789100,791.549988
2016-12-23,790.900024,792.73999,787.280029,789.909973,623400,789.909973
2016-12-22,792.359985,793.320007,788.580017,791.26001,969100,791.26001
2016-12-21,795.840027,796.676025,787.099976,794.559998,1208700,794.559998
2016-12-20,796.76001,798.650024,793.27002,796.419983,925100,796.419983
2016-12-19,790.219971,797.659973,786.27002,794.200012,1225900,794.200012
2016-12-16,800.400024,800.856018,790.289978,790.799988,2428300,790.799988
2016-12-15,797.340027,803.00,792.919983,797.849976,1623700,797.849976
2016-12-14,797.400024,804.00,794.01001,797.070007,1664500,797.070007
2016-12-13,793.900024,804.380005,793.340027,796.099976,2119800,796.099976
2016-12-12,785.039978,791.25,784.35498,789.27002,2097100,789.27002

